               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11051,            0.016003,            0.041794,            0.002095,             0.62281,           0.0083685,           0.0019231,             0.12614,           0.0099595,             0.03845,              0.0973,              0.0003,              0.0003
                   1,             0.11075,            0.016193,            0.041063,           0.0023805,             0.69591,           0.0085425,           0.0018787,             0.11865,            0.010412,            0.038589,            0.093631,           0.0006307,           0.0006307
                   2,             0.10267,            0.019298,            0.042069,           0.0029656,             0.87427,            0.019725,           0.0045042,             0.10122,            0.011938,            0.038514,            0.089882,           0.0008822,           0.0008822
                   3,            0.096748,            0.020172,             0.04042,            0.003178,             0.92885,            0.026317,             0.01002,            0.088655,            0.012761,            0.037511,            0.086055,           0.0010545,           0.0010545
                   4,            0.091891,            0.019497,            0.040274,           0.0033051,             0.96491,            0.038025,            0.011262,            0.084078,            0.013071,            0.036786,            0.082148,           0.0011476,           0.0011476
                   5,            0.089392,            0.024336,             0.03902,           0.0033932,                   1,            0.050394,            0.013439,            0.075739,            0.013702,            0.035705,            0.078162,           0.0011615,           0.0011615
                   6,            0.089174,            0.020575,            0.039102,           0.0061827,             0.98246,            0.066965,            0.015924,            0.068847,             0.01427,              0.0359,            0.074096,           0.0010962,           0.0010962
                   7,            0.083665,            0.024594,            0.038249,           0.0033737,                   1,            0.072895,            0.019878,            0.065902,            0.014403,            0.035887,            0.069952,           0.0009517,           0.0009517
                   8,            0.083754,            0.024186,            0.038434,            0.003269,             0.96491,            0.079182,            0.024166,            0.065243,            0.014374,            0.035652,            0.065728,            0.000728,            0.000728
                   9,            0.082436,            0.025568,            0.037803,           0.0032603,             0.96491,            0.092048,            0.028778,            0.065075,            0.014337,            0.035533,            0.061425,           0.0004251,           0.0004251
